"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"ppda";"xPTS"
1;"Real Madrid";38;26;9;3;70;25;87;72.16;33.15;8.92;77.69
2;"Barcelona";38;25;7;6;86;38;82;72.01;37.82;7.97;73.14
3;"Atletico Madrid";38;18;16;4;51;27;70;58.7;31.52;9.47;72.35
4;"Sevilla";38;19;13;6;54;34;70;55.16;36.62;7.95;65.71
5;"Villarreal";38;18;6;14;63;49;60;65.61;48.59;9.72;64.05
6;"Real Sociedad";38;16;8;14;56;48;56;50.92;41.89;8.27;57.18
7;"Granada";38;16;8;14;52;45;56;45.02;43.44;9.64;52.6
8;"Getafe";38;14;12;12;43;37;54;45.19;43.02;6.97;53.79
9;"Valencia";38;14;11;13;46;53;53;45.58;59.07;13.27;45.43
10;"Osasuna";38;13;13;12;46;54;52;49.04;49.58;8.57;51.51
11;"Athletic Club";38;13;12;13;41;38;51;42.1;52.42;9.32;44.65
12;"Levante";38;14;7;17;47;53;49;49.43;64.25;11.12;42.88
13;"Real Valladolid";38;9;15;14;32;43;42;35.66;53.94;11.93;39.38
14;"Eibar";38;11;9;18;39;56;42;42.35;54.33;8.87;42.91
15;"Real Betis";38;10;11;17;48;60;41;48.9;56.3;9.67;47.94
16;"Alaves";38;10;9;19;34;59;39;38.15;57.93;11.27;40.98
17;"Celta Vigo";38;7;16;15;37;49;37;40.44;44.83;9.96;47.26
18;"Leganes";38;8;12;18;30;51;36;38.92;45.62;10.38;48.92
19;"Mallorca";38;9;6;23;40;65;33;40.46;65.17;12.22;35.36
20;"Espanyol";38;5;10;23;27;58;25;37;53.28;8.71;41.76
